Carrier Name,Carrier Code
NEW HAMPSHIRE INSURANCE CO,5393875
ZURICH AMERICAN INSURANCE CO,5393091
INDEMNITY INSURANCE CO OF,5393889
STATE INSURANCE FUND,5393887
INDEMNITY INS. OF N AMERICA,5393863
LM INSURANCE CORP,5393848
"ROCHESTER, UNIVERSITY OF",5393881
AMERICAN ZURICH INSURANCE CO,5393907
NYC TRANSIT AUTHORITY,5393811
"WAL-MART ASSOCIATES, INC.",5394026
PROPERTY AND CASUALTY,5393931
ZURICH AMERICAN INSURANCE CO.,5394189
HEALTH & HOSPITAL CORP.,5394080
SAFETY NATIONAL CASUALTY CORP,5393808
SOMPO AMERICA INSURANCE CO,5394129
PROPERTY & CASUALTY INSURANCE,5393898
XL INSURANCE AMERICA,5393790
NYU LANGONE HOSPITALS,5393984
OLD REPUBLIC INSURANCE CO.,5393823
UNIVERSITY OF ROCHESTER 1979,5393778
"BATH & BODY WORKS, INC.",5394184
TWIN CITY FIRE INS CO.,5394053
SELECTIVE INSURANCE CO OF NY,5393834
SOMPO AMERICA  FIRE & MARINE,5394159
FIREMANS FUND INSURANCE CO,5394110
HARTFORD ACCIDENT & INDEMNITY,5393827
"POLICE, FIRE, SANITATION",5393901
OLD REPUBLIC INSURANCE CO,5393861
HARTFORD FIRE INSURANCE CO,5393066
HILLSIDE CHILDREN'S CENTER,5393853
MANHATTAN & BRONX SURFACE,5394176
PUBLIC EMPLOYERS RISK MGMT.,5394076
COLUMBIA COUNTY MUT SELF INS,5393921
NATIONAL CASUALTY CO,5393885
EMPLOYERS INS. CO. OF WAUSAU,5394158
LIBERTY INSURANCE CORP.,5394185
ACE AMERICAN INSURANCE CO,5394036
CHUBB INDEMNITY INS CO,5394058
LIBERTY MUTUAL FIRE INS CO,5394035
FIRST LIBERTY INSURANCE CORP.,5394010
MICHIGAN MILLERS MUTUAL,5394181
SARATOGA COUNTY,5393896
NORGUARD INSURANCE COMPANY,5393947
TOWN OF HEMPSTEAD,5393979
TRINITY HEALTH CORPORATION,5394130
NEW JERSEY MANUFACTURERS,5394031
NYU HOSPITALS CENTER,5394034
CORNELL UNIVERSITY,5393927
EASTGUARD INSURANCE COMPANY,5394157
"DELHAIZE AMERICA, LLC",5393667
STARR INDEMNITY & LIABILITY CO,5393902
"CNY OTHER THAN ED, HED WATER",5394134
HEALTH & HOSPITALS CORP. CNY,5394005
SENTINEL INSURANCE CO LTD,5394139
AIU INSURANCE CO,5394083
ACE AMERICAN INSURANCE CO.,5394136
XL INSURANCE AMERICA INC,5393954
CHUBB INDEMNITY COMPANY,5393903
XL SPECIALTY INSURANCE CO,5393976
ARCH INDEMNITY INSURANCE CO.,5393929
FEDERAL INSURANCE COMPANY,5394813
MEMIC CASUALTY COMPANY,5394692
NEW YORK BLACK CAR OPERATORS',5394020
CHARTER OAK FIRE INS CO,5394321
SYRACUSE CITY SCHOOL DIST,5394523
NASSAU HEALTH CARE CORP.,5394433
NYC HOUSING AUTHORITY,5394065
TRIBOROUGH B & T AUTH,5394316
CLEAR SPRING PROPERTY AND,5394196
TECHNOLOGY INSURANCE CO. INC.,5394015
A I U INSURANCE COMPANY,5394542
"WEGMANS FOOD MARKETS, INC.",5393882
TECHNOLOGY INSURANCE CO INC,5393777
COUNTY OF SUFFOLK,5394243
MANUFACTURERS ALLIANCE,5394465
"SWIFT TRANSPORTATION CO., LLC",5394529
FINGER LAKES REGIONAL HEALTH,5394296
COUNTY OF NASSAU,5394327
VIGILANT INSURANCE COMPANY,5394585
ERIE INSURANCE COMPANY,5394349
REDWOOD FIRE AND CASUALTY,5394431
HARTFORD CASUALTY INS CO,5394761
BOARD OF EDUCATION CNY,5394100
AMGUARD INSURANCE COMPANY,5393806
PENNSYLVANIA MANUFACTURERS',5394624
WESTERN SUFFOLK BOCES,5394466
PENNSYLVANIA MANUFACTURERS,5393842
UNIONDALE U.F.S.D.,5394810
TRAVELERS CASUALTY INS CO OF,5394510
ERIE COUNTY MEDICAL CENTER COR,5394403
UTICA MUTUAL INS CO,5394867
HEREFORD INSURANCE COMPANY,5394168
PROTECTIVE INSURANCE CO,5393992
TWIN CITY FIRE INSURANCE CO,5394602
ARCH INDEMNITY INSURANCE CO,5394629
WHITE PLAINS CITY SCHOOL DIST,5394432
ALLEGANY COUNTY MUTUAL,5394840
SELECTIVE INSURANCE COMPANY,5393773
SOMPO AMERICA FIRE & MARINE,5393818
NEW YORK STATE POWER AUTHORITY,5394676
"LOWE'S HOME CENTERS, INC.",5394314
AMTRUST INS CO OF KANSAS INC,5393908
HARTFORD INSURANCE COMPANY,5394545
ERIE INSURANCE CO OF NY,5394837
