WCIO Nature of Injury Code,WCIO Nature of Injury Description
10.0,CONTUSION
49.0,SPRAIN OR TEAR
7.0,CONCUSSION
43.0,PUNCTURE
40.0,LACERATION
71.0,"ALL OTHER OCCUPATIONAL DISEASE INJURY, NOC"
59.0,"ALL OTHER SPECIFIC INJURIES, NOC"
37.0,INFLAMMATION
4.0,BURN
52.0,STRAIN OR TEAR
28.0,FRACTURE
25.0,FOREIGN BODY
90.0,MULTIPLE PHYSICAL INJURIES ONLY
46.0,RUPTURE
16.0,DISLOCATION
80.0,"ALL OTHER CUMULATIVE INJURY, NOC"
34.0,HERNIA
3.0,ANGINA PECTORIS
78.0,CARPAL TUNNEL SYNDROME
1.0,NO PHYSICAL INJURY
36.0,INFECTION
13.0,CRUSHING
53.0,SYNCOPE
42.0,POISONING - GENERAL (NOT OD OR CUMULATIVE
65.0,RESPIRATORY DISORDERS
31.0,HEARING LOSS OR IMPAIRMENT
77.0,MENTAL STRESS
47.0,SEVERANCE
19.0,ELECTRIC SHOCK
